"Station","Start","End","Dist","Type"
"Kpando_07018KPA",1929,2019,"Kpando Municipal","Rainfall"
"Kpedze_09005KPE",1952,2020,"Ho-West","Climate"
"Kpedzeglo Mafi_07037KPE",1955,2022,"Hohoe","Climate"
"Kpetoe Botoe_15020KPE",1928,2005,"Agortime Ziope","Rainfall"
"Kpeve_07026KPE",1939,2017,"South Dayi","Agromet"
"Kpong_07006KPO",1954,2022,"Kpone Katamanso","Agromet"
"Kpong_07007KPO",1952,2008,"Kpone Katamanso","Rainfall"
"Kpoviadzi_07038KPO",1953,1977,"Central Tongu","Rainfall"
"Krachi Nkwanta_09003KRA",1994,2013,"Krachi West","Climate"
"Kudani_09002KUD",1954,1975,"Gushegu Municipal","Rainfall"
"Kue_09002KUE",1957,1981,"Nkwanta South","Rainfall"
"Kugri_04029KUG",1986,2012,"Garu Tempane","Agromet"
"Kukuom Ahafo_16012KUK",1956,1986,"Asunafo South","Rainfall"
"Kukurantumi_22037KUK",1960,2010,"Abuakwa North","Rainfall"
"Kumasi_17009KSI",1946,2023,"Kumasi","Synoptic"
"Kumasi_17010KUM",1950,1988,"Kumasi","Rainfall"
"Kumasi_17011KUM",1952,2019,"Kumasi","Rainfall"
"Kumasi_17036KUM",1960,2020,"Kumasi","Agromet"
"Kumasi_17045OPO",1968,1975,"Kumasi","Rainfall"
"Kumasi_17046KUM",2011,2011,"Kumasi","Rainfall"
"Kumawu_14019KUM",1953,2007,"Sekyere Kumawu","Rainfall"
"Kumbungu_04003KUM",1955,2012,"Kumbungu","Rainfall"
"Kunkungu_02009KUN",1954,2013,"Kumbungu","Rainfall"
"Kunsu_17053KUN",1991,1995,"Asante Akim South","Rainfall"
"Kusawgu_04003KUS",1955,2011,"Gonja Central","Rainfall"
"Kusi_21067KUS",1979,2018,"Denkyembour","Climate"
"Kwabeng_21021KWA",1955,2008,"Atiwa","Rainfall"
"Kwadaso_17012KWA",1952,2020,"Kumasi","Agromet"
"Kwamang_14042KWA",1965,1983,"Sekyere Kumawu","Rainfall"
"Kwame Danso_12004KWA",1953,2021,"Sene West","Rainfall"
"Kwamikrom_07006KWA",1955,1981,"Biakoye","Rainfall"
"Kwanyako_23080KWA",1965,2019,"Agona East","Climate"
"Lawra_01003LAW",1940,2014,"Lawra","Rainfall"
"Legon_23055LEG",1960,1967,"Ga East","Rainfall"
"Leklebi Dafo_07027LEK",1928,1980,"Afadzato South","Rainfall"
"Likpe_07007LIK",1955,1985,"Guan","Rainfall"
"Lupunya_07060LUP",1968,1976,"Shai Osudoku","Rainfall"
"Mafi Anfoe_07039MAF",1955,1982,"Bisikrom","Rainfall"
"Malshugu_07004MAL",1954,1981,"Tamale","Rainfall"
"Mamobi_23096ACC",2004,2017,"Ayawaso East Sub Metro","Rainfall"
"Mampong-Akwapim_14065MAM",1965,2019,"Akwapem North","Rainfall"
"Manga Bawku_04001MAN",1975,2022,"Bawku Municipal","Climate"
"Mangoase_22058MAN",1939,2003,"Akwapem North","Rainfall"
"Mankango_07012MAN",1973,2014,"North East Gonja","Agromet"
"Mankesim_23035MAN",1959,2008,"Mfantsiman","Rainfall"
"Mankranso_17041MAN",1966,2019,"Ahafo Ano South","Rainfall"
"Manso Amenfi_18010MAN",1956,1980,"Wassa Amenfi Central","Rainfall"
"Manso Wassaw_23031MAN",1946,1981,"Mpohor","Rainfall"
"Mape/Omape_16011MAP",1953,1980,"Aowin","Rainfall"
"Marbang_17043MAR",1965,1970,"Atwima Nwabiagya North","Rainfall"
"Maso_11023MAS",1965,1965,"Nkoranza North","Rainfall"
"Matse Have_07021MAT",1955,1989,"Ho Municipal","Rainfall"
"Mem Chemfere_07059MEM.1",2003,2016,"Kwahu Afram Plains North","Climate"
"Mem Chemfere_07059MEM.2",2003,2016,"Kwahu Afram Plains North","Rainfall"
"Menuso_07008MEN",1957,2008,"Kadjebi","Rainfall"
"Mepe_07071ADI",1972,1987,"North Tongu","Rainfall"
"Mepom_23052MEP",1960,2001,"Upper West Akim","Rainfall"
"Mframa_12016MFR",1974,1985,"Sene","Rainfall"
"Mim_16024MIM",1974,2021,"Asunafo North","Rainfall"
"Mirigu_04016MIR",1954,1963,"Kasenna Nankana","Rainfall"
"Mobole_23011MOB",1966,1976,"Ningo Prampram","Rainfall"
"Mole_01007MOL",1973,1985,"West Gonja","Climate"
"Morontuo_19037MOR",1960,1986,"Bosome Frehor","Rainfall"
"Mpakadan_07065MPA",1965,1983,"Asuogyeman","Rainfall"
"Mpataba_23017MPA",1956,1998,"Jomoro","Rainfall"
"Mpehuasem_23084MPE",1968,2022,"Ayawaso","Agromet"
"Mpesaso_16016MPE",1965,2010,"Ahafo Ano South","Rainfall"
"Mpeyo_07009MPE",1928,2019,"Kadjebi","Rainfall"
"Mpraeso_14044MPR",1950,2016,"Kwahu South","Climate"
"Nadawli_01012NAD",1955,2006,"Nadwoli","Rainfall"
"Nakrong_02012NAK",1967,2008,"Kasenna Nankana","Rainfall"
"Nalerigu_06008NAL",1952,1981,"East Mamprusi","Rainfall"
"Nandom_01004NAM",1955,2017,"Nandom","Rainfall"
"Nangodi_05009NAN",1954,1984,"Nabdam","Rainfall"
"Nankese_22033NAN",1959,2010,"Suhum","Rainfall"
"Nankpanduri_09010NAN",1954,2019,"Bumkpurugu-Nakpanduri","Rainfall"
"Nante_01015NAN",1966,1968,"Kintampo South","Rainfall"
"Nasia_06025NAS",1967,1983,"Gazeb","Climate"
"National Achives-Accra_23097ACC",2002,2017,"Ga Central","Rainfall"
"Natriku_07061NAT",1968,1976,"Akuse","Rainfall"
"Navrongo_04003NAV",1946,2023,"Kassena- Nankana","Synoptic"
"Nawchugu_09023NAW",1965,1969,"Gushegu Municipal","Rainfall"
"Nchira_01022NCH",1966,1996,"Wenchi Municipal","Rainfall"
"New Ayoma_07010NEW",1955,1986,"Kukurantumi","Rainfall"
"New Longoro_01002NEW",1953,1983,"Kintampo South","Rainfall"
"New Ningo_23000NEW",1956,1999,"New Ningo","Rainfall"
"Nkawie_17013NKA",1953,2012,"Atwima Nwabiagya North","Rainfall"
"Nkawkaw_19004NKA",1939,1966,"Nkwanta South","Rainfall"
"Nkawkaw_19043NKA",1963,2018,"Nkwanta South","Climate"
"Nkawkubew_07066NKW",1965,1993,"Asuogyaman","Rainfall"
"Nkinkanso_11002NKE",1956,2004,"Offinso North","Rainfall"
"Nkonya Ahenkro_07026NKO",1972,1988,"Biakoye","Rainfall"
"Nkoranza_11007NKO",1956,2017,"Nkoranza","Rainfall"
"Nkroful_23008NKR",1976,2014,"Ellembelle","Climate"
"Nkwanta No. 1_18030NKW",1972,2019,"Nkwanta","Rainfall"
"Nsawam_22027NSA",1932,2016,"Nsawan-Aoagyire Minicipal","Climate"
"Nsawkaw_01012NSA",1956,2021,"Tain","Rainfall"
"Nsoatre_01013NSO",1956,2021,"Sunyani West","Rainfall"
"Nsuaem-Kadadwene_18021NSU",1959,1982,"Tarkwa Nsuaem Municipal","Rainfall"
"Nsukawkaw_07014NSU",1976,2017,"Krachi East Municipal","Rainfall"
"Nsuta_14018NSU",1965,2019,"Sekyere Central","Rainfall"
"Ntoabema_13028NTO",1974,1982,"Sene East","Rainfall"
"Ntonso_17014NTO",1954,1985,"Kwabre East","Rainfall"
"Ntotroso_16023NTO",1962,2019,"Asutifi North","Rainfall"
"Ntronang_19002NTR",1939,2002,"New Abirem","Rainfall"
"Nungua_23012NUN",1953,2008,"Gulf Of Guinea","Rainfall"
"Nungua_23054NUN",1960,1975,"Gulf Of Guinea","Rainfall"
"Nyakrom_23042NYA",1956,2006,"Agona West Municipal","Rainfall"
"Nyamoase_11010NYA",1965,1984,"Atebubu-Amantin","Rainfall"
"Nyankpala_07012NYA.1",1952,2008,"Tolon","Agromet"
"Nyankpala_07012NYA.2",1952,2008,"Tolon","Climate"
"Nyanyanu_23043NYA",1956,1965,"Gomoa East","Rainfall"
"Nyinahin_17017NYI",1965,2017,"Atwima Mponua","Rainfall"
"Obo-Kwahu_19005OBO",1964,1980,"Kwahu South","Rainfall"
"Obuasi  Ashanti_17030OBU",1938,1971,"Obuasi Municipal","Rainfall"
"Obuasi Dankyira_18001OBU",1956,1980,"Obuasi Municipal","Rainfall"
"Obuasi_170390BU",2006,2012,"Obuasi Municipal","Climate"
"Obuasi_17039OBU",1961,2012,"Obuasi Municipal","Climate"
"Obutu_23044OBU",1956,1978,"Gomoa East","Rainfall"
"Odumase/Kunadukrom_14007ODU",1956,1981,"North Dayi","Rainfall"
"Odumasi_23078ODU",1954,1975,"Akwapem North","Rainfall"
"Offinso_17015OFF",1956,2011,"Kwabre East / Offinso","Rainfall"
"Ogoli_07074OGO",1976,1990,"Asuogyaman","Rainfall"
"Ohawu_23053OHA",1963,2022,"Ketu North","Agromet"
"Ohiamankyene_09012OHI",1979,1985,"Krachi West","Rainfall"
"Oketsew_23076OKE",1965,1979,"Awutu Senya","Rainfall"
"Onuku_14047ONU",1964,1983,"Somanya / Fanteakwa","Rainfall"
"Opon Valley_18032OPO",1954,2007,"Wassa Amenfi East","Rainfall"
"Oponsokese_18047OPO",1972,1980,"Upper Denkyira East Municipal","Rainfall"
"Osenase_21074OSE",1965,1976,"West Akim Municipal","Rainfall"
"Oshiyie_23013OSH",1955,1964,"Adenta Municipal","Rainfall"
"Osino_21022OSH",1976,1976,"Fanteakwa South","Rainfall"
"Osino_21022OSI",1956,1997,"Fanteakwa South","Rainfall"
"Osu Presby_23098ACC",1997,2017,"Klorley Klotey Municipal","Rainfall"
"Osudoku_07008OSU",1953,1973,"Shai Osudoku","Rainfall"
"Otumi_21023OTU",1956,1983,"Kwaebibirem","Rainfall"
"Owabi_17016OWA",1947,2020,"Owabi","Climate"
"Owuram_23028OWU",1953,1990,"West Akim","Rainfall"
"Oyarifa_23059OYA",1971,1989,"Pantang West","Climate"
"Oyoko_14026OYO",1948,2015,"New Juaben North Municipal","Rainfall"
"Paga_04004PAG",1956,2004,"Kasena Nankana West","Rainfall"
"Pakyi_17031PAK",1953,1983,"Amansie West","Rainfall"
"Palbe_07018PAL",1974,1983,"North East Gonja","Rainfall"
"Pankese_19030PAN",1956,2016,"Glinyigbatakpo ( Ahorlikope)","Climate"
"Papasi_07011PAP",1955,2013,"Kadjebi","Rainfall"
"Peki Blengo_07028PEK",1921,2019,"South Dayi","Rainfall"
"Pion_08014PIO",1972,1980,"Yendi","Rainfall"
"Poano_17033POA",1951,2006,"Bekwai Municipal","Rainfall"
"Pokoase_22014POK.1",1953,2019,"Ga West Municipal","Agromet"
"Pokoase_22014POK.2",1953,2019,"Ga West Municipal","Climate"
"Pokukrom_17011POK",1965,2017,"Fawaman","Rainfall"
"Pomadze_23089POM",1974,2013,"Effutu Municipal","Agromet"
"Pong Tamale_04005PON",1931,2021,"Savelugu-Nanton","Climate"
"Pore_07040POR",1955,1980,"North Tongu","Rainfall"
"Potsin_23045POT",1956,1978,"Gomoa","Rainfall"
"Prang_11006PRA",1956,2021,"Pru East","Climate"
"Prestea SHTS_TA00003",2015,2023,"Prestea- Huni Valley","Tahmo AWS"
"Prestea_18026PRE",1976,2007,"Prestea- Huni Valley","Climate"
"Pretsea_23001PRE",1971,2019,"Prestea- Huni Valley","Climate"
"Primase_12005PRI",1955,2021,"Sene East","Rainfall"
"Princes Town_23005PRI",1954,2012,"Ahanta West Municipal","Climate"
"Pusiga_04002PUS",1955,1994,"Pusiga","Rainfall"
"Pute_23023PUT",1965,1980,"Ada East","Rainfall"
"Pwalugu_04028PWA",1975,2002,"Pwalagu","Rainfall"
"Saboba_09000SAB",1954,2011,"Saboba","Rainfall"
"Saboba_0900SAB",2012,2012,"Saboba","Rainfall"
"Sakogu_06020SAK",1961,1980,"East Mamprusi","Rainfall"
"Salaga_07003SAL",1947,2019,"Salaga","Climate"
"Saltpond_23022SAL",1944,2023,"Saltpond","Synoptic"
"Samanhiya_13001SAM",1954,1976,"Somanhyia","Rainfall"
"Samoa_01005SAM",1955,1964,"Lambussie-Karni","Rainfall"
"Sampa_01014SAM",1951,2012,"Sampa","Rainfall"
"Samreboi_18020SAM",1956,2006,"Amenfi West Municipal","Rainfall"
"Sandema_04005SAN",1953,2003,"Builsa North","Rainfall"
"Sankpala_04005SLA",1976,1977,"Central Gonja","Rainfall"
"Sasekpe_07041SAS",1955,1977,"Central Tongu","Rainfall"
"Savelugu_04015SAV",1961,2018,"Savelugu-Nanton","Rainfall"
"Sawla_01002SAW",1955,2004,"Sawla-Tuna-Kalba","Rainfall"
"Sefwi  Wiawso_16008WIA",1969,2019,"Sefwi - Wiawso","Climate"
"Sefwi  Wiawso_16026WIA",1991,2021,"Sefwi - Wiawso","Rainfall"
"Sefwi Bekwai_16015BEK",1964,2022,"Bibiani Anhwiase Bekwai","Synoptic"
"Sefwi Wiawso_16026WIA",1991,2021,"Sefwi - Wiawso","Agromet"
"Sege_22001SEG",1958,1987,"Ningo Prampram","Climate"
"Seikwa_01015SEI",1956,1982,"Tain","Rainfall"
"Sekesua_14041SEK",1961,1991,"Bosome Freho","Rainfall"
"Sekodumasi_14012SEK",1965,2006,"Ejura-Sekyedumase","Rainfall"
"Sekondi_23006SEK",1962,2008,"Sekondi-Takoradi Metro","Rainfall"
"Senchi_07009SEN",1953,1987,"Asuogyaman","Rainfall"
"Senya Bereku_23046SEN",1956,1978,"Awutu�Senya","Rainfall"
"Sese_23002SES",1946,1976,"Ahanta West Municipal","Rainfall"
"Shai Hills_23012SHA",1955,1967,"Shai Osudoku","Climate"
"Shia_15022SHI",1955,1983,"Ho Municipal","Rainfall"
"Shiare_09004SHI",1956,1975,"Tarkwa Nsuaem","Rainfall"
"Simpa_18012SIM",1956,1981,"Tarkwa Nsuaem Minicipal","Rainfall"
"Sogakope_07010SOG",1953,2019,"South Tongu","Rainfall"
"Sokode Bagble_07023SOK",1954,1983,"Ho West","Rainfall"
"Somanya_07028SOM",1957,1975,"Yilo Krobo","Climate"
"Somanya_07053SOM",1970,2019,"Yilo Krobo","Climate"
"Sovie_07075SOV",1973,1981,"Kpando Municipal","Rainfall"
"Srogboe_23016SRO",1961,1977,"Keta Municipal","Rainfall"
"Subri_18037SUB",1961,1983,"Wassa East","Rainfall"
"Subriso_16028SUB",1965,1987,"Sene East","Rainfall"
"Suhia Asikuma_10026SUH",1965,1977,"Sekyere Afram Plains North","Rainfall"
"Suhum_22032SUH",1939,2008,"Suhum Minicipal","Rainfall"
"Suku Suku_18022SUK",1944,1977,"Nzema East","Rainfall"
"Sunyani_01016SUN",1921,2019,"Sunyani Minicipal","Rainfall"
"Sunyani_01017SUN",1956,2018,"Sunyani Minicipal","Climate"
"Sunyani_01030SUN",1969,1972,"Sunyani Minicipal","Rainfall"
"Sunyani_01032SUN",1974,2023,"Sunyani Minicipal","Synoptic"
"Tadzewu_23054TAD",1953,1982,"Ketu North","Rainfall"
"Tafo Kwahu_14008TAF",1977,2016,"Kwahu South","Climate"
"Tafo_22024TAF",1950,2010,"Abuakwa North","Agromet"
"Takinta Camp_23018TAK",1956,1976,"Jomoro","Rainfall"
"Takoradi_23003TDI",1976,2023,"Sekondi-Takoradi Metro","Synoptic"
"Takoradi_23005TAK",1962,2018,"Sekondi-Takoradi Metro","Rainfall"
"Takoradi_23007TAK",1953,2018,"Sekondi-Takoradi Metro","Rainfall"
"Takrabe_07012TAK",1955,1979,"Jasikan","Rainfall"
"Tamale_07006TLE",1944,2023,"Tamale Metropolitan","Synoptic"
"Tamale_07007TAM",1953,1985,"Tamale Metropolitan","Rainfall"
"Tamale_07019TAM",1975,2007,"Tamale Metropolitan","Rainfall"
"Tamale_07020TAM",1952,2018,"Tamale Metropolitan","Rainfall"
"Tamatoku_23022TAM",1965,1984,"Ada East","Rainfall"
"Tanoso_16026TAN",2000,2006,"Techiman Municipal","Rainfall"
"Tarkwa-U.M.A.T._18033TAR",1912,2019,"Tarkwa Nsuaem Minicipal","Climate"
"Tease_14009TEA",1954,1990,"Kwahu Afram Plains South","Rainfall"
"Techiman_16008TEC",1955,2021,"Techiman Municipal","Rainfall"
"Tema_23013TEM",1954,2019,"Afigya Kwabre","Rainfall"
"Tema_23024TEM",1965,2023,"Afigya Kwabre","Synoptic"
"Tepa_16001TEP",1952,2007,"Ahafo Ano North","Rainfall"
"Teteman_07013TET",1955,1983,"Jasikan","Rainfall"
"Tetrim_17024TET",1965,1988,"Afigya Kwabre North","Rainfall"
"Tikobo_23063TIK",1963,1978,"Jomoro","Rainfall"
"Tinkong_14068TIN",1965,2005,"Akwapem North","Rainfall"
"Tolon_04006TOL",1961,1979,"Tolon","Rainfall"
"Tonkaw (Tongor)_07072TON",1972,1988,"South Dayi","Rainfall"
"Tono_04006TON",1954,1966,"Builsa North","Rainfall"
"Trumiso_01019TRU",1956,1982,"Wenchi Municipal","Rainfall"
"Tsito_07043TSI",1955,1975,"Tsito","Rainfall"
"Tsito_07055TSI",1959,2021,"Tsito","Climate"
"Tugu_07009TUG",1955,1981,"Tamale Metropolitan","Rainfall"
"Tumu_02010TUM",1950,2014,"Tumu","Rainfall"
"Tuna_02003TUN",1955,2021,"Sawla-Tuna-Kalba","Agromet"
"Tutukpene_09005TUT",1955,1982,"Nkwanta South Municipal","Rainfall"
"Twifo Praso_23023TWI.1",1974,2019,"Twifo Atti Morkwa","Agromet"
"Twifo Praso_23023TWI.2",1974,2019,"Twifo Atti Morkwa","Climate"
"Vea_04026VEA",1972,2022,"Na","Agromet"
"Vere_01004VER",1955,2006,"Wa West","Rainfall"
"Volo_07044VOL",1958,1982,"North Tongu","Rainfall"
"Wa_01013WA-",1952,2022,"Wa Municipal","Synoptic"
"Walembele_02011WAL",1955,2015,"Ellembelle","Rainfall"
"Walewale_06013WAL",1961,2019,"Mamprusi West Municipal","Climate"
"Wamfie_10020WAM",1956,2021,"Dormaa East","Rainfall"
"Wapuli_09002WAP",1965,1993,"Mion","Rainfall"
"Wawjawga_09004WAW",1976,1979,"Saboba","Rainfall"
"Wechiau_01005WEC",1953,2013,"Wa West","Rainfall"
"Weija-Accra_23002AWW",1953,2020,"Gbawe Municipal","Rainfall"
"Weija_22020WEI",1952,2017,"Ga South","Climate"
"Weija_23092WEI",1991,2017,"Ga South","Agromet"
"Wenchi_01018WEN",1950,2023,"Wenchi Municipal","Synoptic"
"Wiaga_04007WIA",1954,2007,"Builsa North","Rainfall"
"Wiawso_16013WIA",1956,1976,"Ahafo Ano South West","Rainfall"
"Winneba_23047WIN",1950,1965,"Effutu Municipal","Rainfall"
"Winneba_23048WIN",1921,2018,"Effutu Municipal","Rainfall"
"Winneba_23067WIN",1964,2022,"Effutu Municipal","Climate"
"Worawora_07014WOR",1939,2013,"Biakoye","Rainfall"
"Workpe_07045WOR",1976,2012,"Central Tongu","Rainfall"
"Wurinyaga_04024WUR",1965,2004,"Tempane","Rainfall"
"Wurupong_07015WUR",1954,1985,"Jasikan","Rainfall"
"Wusuta_07029WUS",1952,1989,"Anfoega","Rainfall"
"Yapei_04007YAP",1955,2004,"Central Gonja","Rainfall"
"Yeji_07004YEJ",2006,2021,"Pru East","Rainfall"
"Yendi_08010YDI",1950,2023,"Yendi","Synoptic"
"Yendi_08016YEN",1961,2018,"Yendi","Rainfall"
"Yendi_08017YEN",1961,1976,"Yendi","Rainfall"
"Zabzungu_09001ZAB",1954,2019,"Zabzugu","Rainfall"
"Zan_08011ZAN",1991,1992,"Mion","Rainfall"
"Ziope_15024ZIO",1955,1981,"Ziope","Rainfall"
"Zomayi (Zuma)_07046ZOM",1955,1963,"North Tongu","Rainfall"
"Zongo Macheri_08011ZON",1967,1993,"Krachi Nchumuru","Climate"
"Zongori_04014ZON",1955,1960,"Bawku West","Rainfall"
"Zuarungu_04015ZUA",1939,2022,"Bolga East","Agromet"
